2024-01-26 13:49:33,320 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:48,081 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:53,571 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 15:12:53,294 - INFO - Recuerde utilizar el comando: python Apollo11.py --opcion valor_cambiado, para modificar valores desde consola.

De lo contrario, continue con el siguiente Menu:
2024-01-26 15:13:13,530 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,581 - INFO - Se ha generado un hash
2024-01-26 15:13:13,581 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,581 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,581 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:13,582 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:13,586 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:13,637 - INFO - Se ha generado un hash
2024-01-26 15:13:13,637 - INFO - Listado de misiones Creado
2024-01-26 15:13:13,637 - INFO - Listado de misiones Creado
